,system,class
607,SNAR-10 battlefield surveillance radar,Radars And Communications Equipment
613,ST-68U radar,Radars And Communications Equipment
302,Eleron T28ME,Reconnaissance Unmanned Aerial Vehicles
303,Eleron-3,Reconnaissance Unmanned Aerial Vehicles
309,Forpost,Reconnaissance Unmanned Aerial Vehicles
327,Granat-3,Reconnaissance Unmanned Aerial Vehicles
328,Granat-4,Reconnaissance Unmanned Aerial Vehicles
329,Grifon-12,Reconnaissance Unmanned Aerial Vehicles
409,Lastochka-M,Reconnaissance Unmanned Aerial Vehicles
443,Merlin-VR,Reconnaissance Unmanned Aerial Vehicles
496,Orlan-10,Reconnaissance Unmanned Aerial Vehicles
497,Orlan-10 'Moskit' jamming UAV,Reconnaissance Unmanned Aerial Vehicles
498,Orlan-10 jamming UAV,Reconnaissance Unmanned Aerial Vehicles
501,Orlan-20' ''Kartograf'',Reconnaissance Unmanned Aerial Vehicles
502,Orlan-30,Reconnaissance Unmanned Aerial Vehicles
503,Orlik,Reconnaissance Unmanned Aerial Vehicles
530,Poseidon H10,Reconnaissance Unmanned Aerial Vehicles
601,Shark,Reconnaissance Unmanned Aerial Vehicles
629,Supercam S150,Reconnaissance Unmanned Aerial Vehicles
630,Supercam S350,Reconnaissance Unmanned Aerial Vehicles
682,Takhion,Reconnaissance Unmanned Aerial Vehicles
732,Unknown reconnaissance UAV,Reconnaissance Unmanned Aerial Vehicles
787,ZALA 421-16E2,Reconnaissance Unmanned Aerial Vehicles
788,ZALA 421-16EM,Reconnaissance Unmanned Aerial Vehicles
100,2K22M Tunguska-M,Self-Propelled Anti-Aircraft Guns
101,2K22M1 Tunguska,Self-Propelled Anti-Aircraft Guns
281,BTR-ZD,Self-Propelled Anti-Aircraft Guns
282,BTR-ZD Skrezhet,Self-Propelled Anti-Aircraft Guns
801,ZSU-23-4 Shilka,Self-Propelled Anti-Aircraft Guns
141,9P148 Konkurs,Self-Propelled Anti-Tank Missile Systems
142,9P148 Konkurs ATGM carrier,Self-Propelled Anti-Tank Missile Systems
143,9P149 Shturm-S,Self-Propelled Anti-Tank Missile Systems
144,9P149 Shturm-S ATGM carrier,Self-Propelled Anti-Tank Missile Systems
145,9P163M-1 Kornet-T,Self-Propelled Anti-Tank Missile Systems
11,120mm 2S23 Nona-SVK,Self-Propelled Artillery
12,120mm 2S34 Khosta,Self-Propelled Artillery
13,120mm 2S9 Nona,Self-Propelled Artillery
16,120mm Bars-8MMK,Self-Propelled Artillery
18,120mm BTR-3M2,Self-Propelled Artillery
22,122mm 2S1 Gvozdika,Self-Propelled Artillery
37,152mm 2S19 Msta-S,Self-Propelled Artillery
39,152mm 2S3 Akatsiya,Self-Propelled Artillery
40,152mm 2S3(M) Akatsiya,Self-Propelled Artillery
41,152mm 2S33 Msta-SM2,Self-Propelled Artillery
42,152mm 2S5 Giatsint-S,Self-Propelled Artillery
48,152mm ShKH vz. 77 DANA,Self-Propelled Artillery
49,155mm AHS Krab,Self-Propelled Artillery
51,155mm Caesar,Self-Propelled Artillery
54,155mm M109A3/A4/A5,Self-Propelled Artillery
56,155mm M109A3GN,Self-Propelled Artillery
58,155mm Panzerhaubitze 2000,Self-Propelled Artillery
59,155mm ShKH Zuzana 2,Self-Propelled Artillery
87,203mm 2S7 Pion,Self-Propelled Artillery
89,203mm 2S7M Malka,Self-Propelled Artillery
97,240mm 2S4 Tyulpan,Self-Propelled Artillery
734,Unknown SPG,Self-Propelled Artillery
111,5P851A (launcher for S-300PT),Surface-To-Air Missile Systems
112,5P85D (launcher for S-300PS),Surface-To-Air Missile Systems
113,5P85D/S (launcher for S-300PS),Surface-To-Air Missile Systems
114,5P85S (launcher for S-300PS),Surface-To-Air Missile Systems
115,5P85SD/SM (launcher for S-300 PMU(-1)),Surface-To-Air Missile Systems
116,5P85SM (launcher for S-300 PMU-1),Surface-To-Air Missile Systems
117,5P85SM2-01 (launcher for S-400),Surface-To-Air Missile Systems
124,9A310M1 TELAR (for Buk-M1),Surface-To-Air Missile Systems
125,9A310M1-2 TELAR (for Buk-M1-2),Surface-To-Air Missile Systems
126,9A316 TEL (for Buk-M2),Surface-To-Air Missile Systems
127,9A317 TELAR (for Buk-M2),Surface-To-Air Missile Systems
128,9A330 Tor TLAR (for 9K330 Tor),Surface-To-Air Missile Systems
130,9A331 TLAR (for 9K331 Tor-M1),Surface-To-Air Missile Systems
131,9A331M TLAR (for 9K332 Tor-M2),Surface-To-Air Missile Systems
132,9A39M1 TEL (for Buk-M1),Surface-To-Air Missile Systems
133,9A39M1-2 TEL (for Buk-M1-2),Surface-To-Air Missile Systems
134,9A83M2 (launcher for S-300V4),Surface-To-Air Missile Systems
138,9K331MDT Tor-M2DT,Surface-To-Air Missile Systems
139,9K35 Strela-10,Surface-To-Air Missile Systems
410,Launcher for S-300,Surface-To-Air Missile Systems
520,Pantsir-S1,Surface-To-Air Missile Systems
615,Stormer HVM,Surface-To-Air Missile Systems
720,Unknown Buk SAM system,Surface-To-Air Missile Systems
632,T-62 Obr. 1967,Tanks
633,T-62M,Tanks
634,T-62M Obr. 2022,Tanks
635,T-62MV,Tanks
639,T-64A,Tanks
641,T-64B,Tanks
642,T-64B1M,Tanks
643,T-64BM 'Bulat',Tanks
644,T-64BM2 'Bulat',Tanks
645,T-64BV,Tanks
647,T-64BV Zr. 2017,Tanks
648,T-64BVK,Tanks
649,T-72 'Ural',Tanks
651,T-72A,Tanks
652,T-72AMT,Tanks
654,T-72AV,Tanks
656,T-72B,Tanks
658,T-72B Obr. 1989,Tanks
659,T-72B Obr. 2022,Tanks
660,T-72B3,Tanks
661,T-72B3 Obr. 2014,Tanks
662,T-72B3 Obr. 2016,Tanks
664,T-72BA,Tanks
665,T-72EA,Tanks
666,T-72M/M1(R),Tanks
668,T-80BV,Tanks
671,T-80BVK,Tanks
672,T-80BVM,Tanks
673,T-80BVM Obr. 2022,Tanks
674,T-80U,Tanks
675,T-80UE-1,Tanks
676,T-80UK,Tanks
677,T-80UM2,Tanks
678,T-90A,Tanks
679,T-90AK,Tanks
680,T-90M,Tanks
681,T-90S,Tanks
737,Unknown T-64,Tanks
738,Unknown T-72,Tanks
740,Unknown T-80,Tanks
741,Unknown tank,Tanks
4,100mm BS-3 anti-tank gun,Towed Artillery
5,100mm MT-12 anti-tank gun,Towed Artillery
7,105mm L119 howitzer,Towed Artillery
8,120mm 2B16 Nona-K gun mortar,Towed Artillery
10,120mm 2B16 Nona-K howitzer,Towed Artillery
28,122mm D-30 howitzer,Towed Artillery
31,130mm M-46 field gun,Towed Artillery
32,152mm 2A36 Giatsint-B,Towed Artillery
33,152mm 2A36 Giatsint-B field-gun,Towed Artillery
35,152mm 2A65 Msta-B howitzer,Towed Artillery
46,152mm D-20 gun-howitzer,Towed Artillery
52,155mm FH-70,Towed Artillery
57,155mm M777A2 howitzer,Towed Artillery
98,2B9 Vasilek 82mm automatic gun mortar,Towed Artillery
121,82mm 2B9 Vasilek automatic gun mortar,Towed Artillery
122,82mm 2B9 Vasilek MT-LB-based automatic gun mortar,Towed Artillery
745,Unknown towed artillery,Towed Artillery
3,(Unknown) vehicle,"Trucks, Vehicles and Jeeps"
61,17 Ural-375D,"Trucks, Vehicles and Jeeps"
118,6 Ural tanker,"Trucks, Vehicles and Jeeps"
136,9K33 Osa,"Trucks, Vehicles and Jeeps"
157,9T217 transloader (for 9K33 Osa),"Trucks, Vehicles and Jeeps"
159,9T244 transloader (for 9A330/1 Tor),"Trucks, Vehicles and Jeeps"
181,Armed pickup truck,"Trucks, Vehicles and Jeeps"
182,Armed tactical buggy,"Trucks, Vehicles and Jeeps"
183,Armoured KrAZ-6322,"Trucks, Vehicles and Jeeps"
184,Armoured Volkswagen Amarok pickup truck,"Trucks, Vehicles and Jeeps"
232,Bogdan-2251 ambulance pickup truck,"Trucks, Vehicles and Jeeps"
233,Bogdan-2351 ambulance pickup truck,"Trucks, Vehicles and Jeeps"
234,Bogdan-5316,"Trucks, Vehicles and Jeeps"
235,Bogdan-63172,"Trucks, Vehicles and Jeeps"
236,Bogdan-63172 'Kozak',"Trucks, Vehicles and Jeeps"
293,Civilian KamAZ 6x6 converted for military use,"Trucks, Vehicles and Jeeps"
307,FMTV M1083A1P2,"Trucks, Vehicles and Jeeps"
308,Ford Ranger,"Trucks, Vehicles and Jeeps"
312,GAZ Sobol,"Trucks, Vehicles and Jeeps"
315,GAZ-3308,"Trucks, Vehicles and Jeeps"
319,GAZ-51,"Trucks, Vehicles and Jeeps"
321,GAZ-63,"Trucks, Vehicles and Jeeps"
322,GAZ-66,"Trucks, Vehicles and Jeeps"
324,GAZ-66 tanker,"Trucks, Vehicles and Jeeps"
349,Jelcz P882 D53,"Trucks, Vehicles and Jeeps"
354,KamAZ,"Trucks, Vehicles and Jeeps"
356,KamAZ 4x4,"Trucks, Vehicles and Jeeps"
358,KamAZ 6x6,"Trucks, Vehicles and Jeeps"
360,KamAZ 6x6 tanker,"Trucks, Vehicles and Jeeps"
362,KamAZ 8x8,"Trucks, Vehicles and Jeeps"
363,KamAZ Avtozaks,"Trucks, Vehicles and Jeeps"
366,KamAZ with MM-501 armoured cabin,"Trucks, Vehicles and Jeeps"
367,KamAZ-395800 'Gorets',"Trucks, Vehicles and Jeeps"
369,KamAZ-5350 with armoured cabin,"Trucks, Vehicles and Jeeps"
372,KamAZ-6350 8x8 artillery tractor,"Trucks, Vehicles and Jeeps"
384,KrAZ-255B,"Trucks, Vehicles and Jeeps"
389,KrAZ-255B tanker,"Trucks, Vehicles and Jeeps"
396,KrAZ-260 tanker,"Trucks, Vehicles and Jeeps"
397,KrAZ-5233,"Trucks, Vehicles and Jeeps"
398,KrAZ-6322,"Trucks, Vehicles and Jeeps"
408,Land Rover Defender,"Trucks, Vehicles and Jeeps"
417,LuAZ-969,"Trucks, Vehicles and Jeeps"
434,MAZ AC-8-500A Tanker,"Trucks, Vehicles and Jeeps"
435,MAZ TZ-500 tanker,"Trucks, Vehicles and Jeeps"
437,MAZ-5316,"Trucks, Vehicles and Jeeps"
438,MAZ-5337 fuel tanker,"Trucks, Vehicles and Jeeps"
439,MAZ-537,"Trucks, Vehicles and Jeeps"
442,Mercedes-Benz Unimog U1300L ambulance,"Trucks, Vehicles and Jeeps"
524,Peugeot P4,"Trucks, Vehicles and Jeeps"
525,Pinzgauer Vector 718,"Trucks, Vehicles and Jeeps"
693,UAZ Patriot jeep,"Trucks, Vehicles and Jeeps"
694,UAZ-23632 pickup truck,"Trucks, Vehicles and Jeeps"
695,UAZ-23632-148-64 armed pickup truck,"Trucks, Vehicles and Jeeps"
697,UAZ-31514,"Trucks, Vehicles and Jeeps"
702,UAZ-394511 Esaul,"Trucks, Vehicles and Jeeps"
703,UAZ-452 van,"Trucks, Vehicles and Jeeps"
705,UAZ-469 jeep,"Trucks, Vehicles and Jeeps"
707,UAZ-515195 'Esaul',"Trucks, Vehicles and Jeeps"
725,Unknown fuel tanker,"Trucks, Vehicles and Jeeps"
743,Unknown tanker,"Trucks, Vehicles and Jeeps"
747,Unknown truck,"Trucks, Vehicles and Jeeps"
748,Unknown vehicle,"Trucks, Vehicles and Jeeps"
751,Ural Avtozaks,"Trucks, Vehicles and Jeeps"
752,Ural Federal,"Trucks, Vehicles and Jeeps"
753,Ural tanker,"Trucks, Vehicles and Jeeps"
754,Ural-375D,"Trucks, Vehicles and Jeeps"
756,Ural-375D tanker,"Trucks, Vehicles and Jeeps"
757,Ural-375D with 8T210 crane,"Trucks, Vehicles and Jeeps"
758,Ural-4320,"Trucks, Vehicles and Jeeps"
764,Ural-4320 tanker,"Trucks, Vehicles and Jeeps"
765,Ural-4320 with EOV-3521 excavator,"Trucks, Vehicles and Jeeps"
768,Ural-43206,"Trucks, Vehicles and Jeeps"
770,Ural-5323,"Trucks, Vehicles and Jeeps"
771,Ural-542301 tank transporter,"Trucks, Vehicles and Jeeps"
773,Ural-63704-0010 Tornado-U,"Trucks, Vehicles and Jeeps"
774,Ural-VV,"Trucks, Vehicles and Jeeps"
790,ZiL-130,"Trucks, Vehicles and Jeeps"
791,ZiL-130 tanker,"Trucks, Vehicles and Jeeps"
792,ZiL-131,"Trucks, Vehicles and Jeeps"
794,ZiL-131 tanker,"Trucks, Vehicles and Jeeps"
798,ZiL-157,"Trucks, Vehicles and Jeeps"
799,ZiL-181,"Trucks, Vehicles and Jeeps"
800,ZiL-4331,"Trucks, Vehicles and Jeeps"
2,(Unknown) truck,Unknown
162,A1-SM Fury,Unmanned Aerial Vehicles
164,AeroVironment RQ-20 Puma,Unmanned Aerial Vehicles
188,ASU-1 Valkyrja,Unmanned Aerial Vehicles
198,Bayraktar Mini,Unmanned Aerial Vehicles
306,FlyEye,Unmanned Aerial Vehicles
345,ITEC Skif,Unmanned Aerial Vehicles
413,Leleka-100,Unmanned Aerial Vehicles
431,Malloy Aeronautics T150 cargo UAV,Unmanned Aerial Vehicles
504,Orlik UAV,Unmanned Aerial Vehicles
522,PD-1,Unmanned Aerial Vehicles
523,Penguin C,Unmanned Aerial Vehicles
602,Shark UAV,Unmanned Aerial Vehicles
611,Spaitech Sparrow,Unmanned Aerial Vehicles
612,Spectator-M1,Unmanned Aerial Vehicles
708,UJ-22,Unmanned Aerial Vehicles
733,Unknown reconnaissance UAV,Unmanned Aerial Vehicles
199,Bayraktar TB2 UCAV,Unmanned Combat Aerial Vehicles
310,Forpost-RU,Unmanned Combat Aerial Vehicles
375,Korsar,Unmanned Combat Aerial Vehicles
462,Mohajer-6,Unmanned Combat Aerial Vehicles
495,Orion,Unmanned Combat Aerial Vehicles
500,Orlan-10 UCAV,Unmanned Combat Aerial Vehicles
