system,class,country
9A39M1 TEL (for Buk-M1),Surface-To-Air Missile Systems,Ukraine
9K33 Osa,"Trucks, Vehicles and Jeeps",Ukraine
9K35 Strela-10,Surface-To-Air Missile Systems,Ukraine
9P148 Konkurs ATGM carrier,Self-Propelled Anti-Tank Missile Systems,Ukraine
9P149 Shturm-S ATGM carrier,Self-Propelled Anti-Tank Missile Systems,Ukraine
9T217 transloader (for 9K33 Osa),"Trucks, Vehicles and Jeeps",Ukraine
9T452 transporter-loader (for BM-27 'Uragan' MRL),Artillery Support Vehicles And Equipment,Ukraine
A1-SM Fury,Unmanned Aerial Vehicles,Ukraine
AN/TPQ-36 lightweight counter mortar radar,Radars And Communications Equipment,Ukraine
AN/TPQ-49 lightweight counter mortar radar,Radars And Communications Equipment,Ukraine
ASU-1 Valkyrja,Unmanned Aerial Vehicles,Ukraine
Alvis 4 'Mamba',Mine-Resistant Ambush Protected (MRAP) Vehicles,Ukraine
An-26 transport aircraft,Aircraft,Ukraine
Armed pickup truck,"Trucks, Vehicles and Jeeps",Ukraine
Armed tactical buggy,"Trucks, Vehicles and Jeeps",Ukraine
Armoured KrAZ-6322,"Trucks, Vehicles and Jeeps",Ukraine
Armoured Volkswagen Amarok pickup truck,"Trucks, Vehicles and Jeeps",Ukraine
BAT-2 heavy engineering vehicle,Engineering Vehicles And Equipment,Ukraine
BMC Kirpi,Mine-Resistant Ambush Protected (MRAP) Vehicles,Ukraine
BMM-4C Ambulance,Armoured Fighting Vehicles,Ukraine
BMM-70 Ambulance,Armoured Fighting Vehicles,Ukraine
BMP-1(P),Infantry Fighting Vehicles,Ukraine
BMP-1KSh command and staff vehicle,Command Posts And Communications Stations,Ukraine
BMP-1TS,Infantry Fighting Vehicles,Ukraine
BMP-1U 'Shkval',Infantry Fighting Vehicles,Ukraine
BRDM-2,Armoured Fighting Vehicles,Ukraine
BRDM-2L1,Armoured Fighting Vehicles,Ukraine
BRDM-2RKhb chemical reconnaissance vehicle,Armoured Fighting Vehicles,Ukraine
BREM-1 armoured recovery vehicle,Engineering Vehicles And Equipment,Ukraine
BTR-3,Infantry Fighting Vehicles,Ukraine
BTR-60PB,Armoured Personnel Carriers,Ukraine
BTR-60PU-12 air defence command vehicle,Command Posts And Communications Stations,Ukraine
BTR-70,Armoured Personnel Carriers,Ukraine
BTR-70M,Armoured Personnel Carriers,Ukraine
BTR-80,Armoured Personnel Carriers,Ukraine
BTR-80M,Armoured Personnel Carriers,Ukraine
BTR-D,Armoured Personnel Carriers,Ukraine
BTS-4 ARV with ZU-23 AA gun,Armoured Fighting Vehicles,Ukraine
BVP M-80A,Infantry Fighting Vehicles,Ukraine
Bayraktar TB2 UCAV,Unmanned Combat Aerial Vehicles,Ukraine
Bogdan-2351 ambulance pickup truck,"Trucks, Vehicles and Jeeps",Ukraine
Bogdan-63172,"Trucks, Vehicles and Jeeps",Ukraine
Bushmaster Protected Mobility Vehicle,Mine-Resistant Ambush Protected (MRAP) Vehicles,Ukraine
FlyEye,Unmanned Aerial Vehicles,Ukraine
GMZ-3 minelayer,Engineering Vehicles And Equipment,Ukraine
GT-MU AFV converted to APC,Armoured Personnel Carriers,Ukraine
Gyurza-M-class gunboat,Naval Ships,Ukraine
Husky Tactical Support Vehicle,Infantry Mobility Vehicles,Ukraine
IMR-2 combat engineering vehicle,Engineering Vehicles And Equipment,Ukraine
Il-76 transport aircraft,Aircraft,Ukraine
International M1224 MaxxPro,Mine-Resistant Ambush Protected (MRAP) Vehicles,Ukraine
Island-class patrol boat P190 Slovyansk,Naval Ships,Ukraine
Iveco LMV,Infantry Mobility Vehicles,Ukraine
K1Sh1 command and staff vehicle,Command Posts And Communications Stations,Ukraine
KamAZ,"Trucks, Vehicles and Jeeps",Ukraine
Kozak-2,Infantry Mobility Vehicles,Ukraine
Kozak-2M1,Infantry Mobility Vehicles,Ukraine
KrAZ Cobra,Infantry Mobility Vehicles,Ukraine
KrAZ Cougar,Infantry Mobility Vehicles,Ukraine
KrAZ Spartan,Infantry Mobility Vehicles,Ukraine
KrAZ-255B with excavator,Engineering Vehicles And Equipment,Ukraine
KrAZ-260,Engineering Vehicles And Equipment,Ukraine
KrAZ-5233,"Trucks, Vehicles and Jeeps",Ukraine
KrAZ-MPV Shrek One,Mine-Resistant Ambush Protected (MRAP) Vehicles,Ukraine
Krivak III-class frigate 'Hetman Sahaydachniy',Naval Ships,Ukraine
Land Rover Defender,"Trucks, Vehicles and Jeeps",Ukraine
Leleka-100,Unmanned Aerial Vehicles,Ukraine
M1114 and M1151 HMMWV,Infantry Mobility Vehicles,Ukraine
M1152 HMMWV,Infantry Mobility Vehicles,Ukraine
M998 HMMWV,Infantry Mobility Vehicles,Ukraine
MAZ-5316,"Trucks, Vehicles and Jeeps",Ukraine
MAZ-537,"Trucks, Vehicles and Jeeps",Ukraine
MDK-3 trench-digging vehicle,Engineering Vehicles And Equipment,Ukraine
MSL Shield,Infantry Mobility Vehicles,Ukraine
MT-LB,Armoured Fighting Vehicles,Ukraine
MT-LB with ZU-23 AA gun,Armoured Fighting Vehicles,Ukraine
MT-LBu,Armoured Fighting Vehicles,Ukraine
Malloy Aeronautics T150 cargo UAV,Unmanned Aerial Vehicles,Ukraine
Mercedes-Benz Unimog U1300L ambulance,"Trucks, Vehicles and Jeeps",Ukraine
Mi-14 maritime helicopter,Helicopters,Ukraine
Mi-2 training helicopter,Helicopters,Ukraine
Mi-24 attack helicopter,Helicopters,Ukraine
Mi-24P attack helicopter,Helicopters,Ukraine
Mi-8 transport helicopter,Helicopters,Ukraine
NOTA,Jammers And Deception Systems,Ukraine
Novator,Infantry Mobility Vehicles,Ukraine
P-14 'Tall King',Radars And Communications Equipment,Ukraine
P-18 'Malakhit',Radars And Communications Equipment,Ukraine
P-18 'Spoon Rest D',Radars And Communications Equipment,Ukraine
P-18ML long-range VHF surveillance radar,Radars And Communications Equipment,Ukraine
P-19 'Flat Face B',Radars And Communications Equipment,Ukraine
P-35/37 'Bar Lock',Radars And Communications Equipment,Ukraine
PRV-11 'Side Net',Radars And Communications Equipment,Ukraine
PRV-13 'Odd Pair',Radars And Communications Equipment,Ukraine
PTS-2 tracked amphibious transport,Engineering Vehicles And Equipment,Ukraine
Pbv 501A,Infantry Fighting Vehicles,Ukraine
Peugeot P4,"Trucks, Vehicles and Jeeps",Ukraine
Pontoon bridge,Engineering Vehicles And Equipment,Ukraine
Pr.304 Amur-class command ship 'Donbas' ''U-500'',Naval Ships,Ukraine
R-145BM command vehicle,Command Posts And Communications Stations,Ukraine
"R-410-7,5 tropospheric radio relay communication station",Radars And Communications Equipment,Ukraine
RKhM 'Kashalot',Engineering Vehicles And Equipment,Ukraine
SNAR-10 battlefield surveillance radar,Radars And Communications Equipment,Ukraine
Small patrol boats (Sea Guard),Naval Ships,Ukraine
Sorum-class seagoing tugboat 'Korets' ''A830 or P186'',Naval Ships,Ukraine
Spaitech Sparrow,Unmanned Aerial Vehicles,Ukraine
Spectator-M1,Unmanned Aerial Vehicles,Ukraine
Stenka-class patrol boat (Operated by the Sea Guard),Naval Ships,Ukraine
Su-27 fighter aircraft,Aircraft,Ukraine
T-64 mine clearing roller tank,Engineering Vehicles And Equipment,Ukraine
T-64B1M,Tanks,Ukraine
T-64BM 'Bulat',Tanks,Ukraine
T-64BM2 'Bulat',Tanks,Ukraine
T-64BV,Tanks,Ukraine
T-64BV Zr. 2017,Tanks,Ukraine
T-64BVK,Tanks,Ukraine
T-72AMT,Tanks,Ukraine
T-72AV,Tanks,Ukraine
T-72B,Tanks,Ukraine
Triton-1,Infantry Mobility Vehicles,Ukraine
UAZ-469 jeep,"Trucks, Vehicles and Jeeps",Ukraine
UJ-22,Unmanned Aerial Vehicles,Ukraine
Unknown BMP-1/2,Infantry Fighting Vehicles,Ukraine
Unknown BTR,Armoured Personnel Carriers,Ukraine
Unknown SPG,Self-Propelled Artillery,Ukraine
Unknown fighter/strike aircraft,Aircraft,Ukraine
Unknown reconnaissance UAV,Unmanned Aerial Vehicles,Ukraine
Unknown tank,Tanks,Ukraine
Unknown truck,"Trucks, Vehicles and Jeeps",Ukraine
Unknown vehicle,"Trucks, Vehicles and Jeeps",Ukraine
Ural-4320 KET-L recovery vehicle,Engineering Vehicles And Equipment,Ukraine
Varta,Infantry Mobility Vehicles,Ukraine
Vepr,Armoured Fighting Vehicles,Ukraine
YPR-765,Armoured Personnel Carriers,Ukraine
ZSU-23-4 Shilka,Self-Propelled Anti-Aircraft Guns,Ukraine
ZiL-130,"Trucks, Vehicles and Jeeps",Ukraine
ZiL-157,"Trucks, Vehicles and Jeeps",Ukraine
ZiL-181,"Trucks, Vehicles and Jeeps",Ukraine
